Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
FPT,5/21/2020 9:46,49.0,49.0,48.95,49.0,8050,0
FPT,5/21/2020 9:47,48.95,49.0,48.95,48.95,15800,0
FPT,5/21/2020 9:48,48.95,49.0,48.95,48.95,6660,0
FPT,5/21/2020 9:49,48.9,48.9,48.9,48.9,270,0
FPT,5/21/2020 9:50,49.0,49.0,49.0,49.0,31050,0
FPT,5/21/2020 9:51,48.95,49.0,48.95,49.0,5040,0
FPT,5/21/2020 9:53,49.0,49.0,48.9,48.9,350,0
FPT,5/21/2020 9:54,48.95,48.95,48.9,48.95,6030,0
FPT,5/21/2020 9:55,48.9,48.9,48.9,48.9,1150,0
FPT,5/21/2020 9:56,48.9,48.95,48.9,48.9,2740,0
FPT,5/21/2020 9:57,48.95,48.95,48.9,48.95,5790,0
FPT,5/21/2020 9:58,48.9,48.9,48.85,48.85,56350,0
FPT,5/21/2020 9:59,48.85,48.85,48.85,48.85,5910,0
FPT,5/21/2020 10:00,48.85,48.85,48.85,48.85,410,0
FPT,5/21/2020 10:01,48.9,48.9,48.85,48.85,11320,0
FPT,5/21/2020 10:02,48.85,48.85,48.85,48.85,580,0
FPT,5/21/2020 10:03,48.85,48.85,48.85,48.85,500,0
FPT,5/21/2020 10:04,48.9,48.9,48.85,48.9,2760,0
FPT,5/21/2020 10:05,48.9,48.9,48.9,48.9,1320,0
FPT,5/21/2020 10:07,48.9,48.9,48.85,48.85,1230,0
FPT,5/21/2020 10:08,48.9,48.9,48.9,48.9,500,0
FPT,5/21/2020 10:09,48.85,48.85,48.85,48.85,180,0
FPT,5/21/2020 10:12,48.85,48.9,48.85,48.85,3350,0
FPT,5/21/2020 10:13,48.85,48.9,48.85,48.9,3010,0
FPT,5/21/2020 10:14,48.9,48.9,48.9,48.9,30150,0
FPT,5/21/2020 10:15,48.9,48.9,48.9,48.9,100,0
FPT,5/21/2020 10:16,48.95,48.95,48.95,48.95,1000,0
FPT,5/21/2020 10:17,48.9,48.95,48.9,48.95,6030,0
FPT,5/21/2020 10:18,48.9,48.9,48.9,48.9,210,0
FPT,5/21/2020 10:19,48.9,48.9,48.9,48.9,520,0
FPT,5/21/2020 10:20,48.9,48.9,48.9,48.9,490,0
FPT,5/21/2020 10:21,48.9,48.95,48.9,48.9,1270,0
FPT,5/21/2020 10:22,48.95,48.95,48.9,48.9,3020,0
FPT,5/21/2020 10:23,48.9,48.9,48.9,48.9,2030,0
FPT,5/21/2020 10:24,48.9,48.95,48.9,48.95,2440,0
FPT,5/21/2020 10:25,48.9,48.9,48.9,48.9,1000,0
FPT,5/21/2020 10:27,48.9,48.95,48.9,48.9,990,0
FPT,5/21/2020 10:28,48.95,48.95,48.95,48.95,70,0
FPT,5/21/2020 10:29,48.95,48.95,48.95,48.95,2110,0
FPT,5/21/2020 10:30,48.9,48.95,48.9,48.95,980,0
FPT,5/21/2020 10:31,48.9,48.9,48.9,48.9,1000,0
FPT,5/21/2020 10:32,48.9,48.9,48.9,48.9,190,0
FPT,5/21/2020 10:33,48.95,48.95,48.9,48.9,2240,0
FPT,5/21/2020 10:34,48.9,48.9,48.9,48.9,21080,0
FPT,5/21/2020 10:35,48.9,48.9,48.9,48.9,5310,0
FPT,5/21/2020 10:36,48.9,48.95,48.9,48.95,5560,0
FPT,5/21/2020 10:37,48.9,48.95,48.9,48.95,820,0
FPT,5/21/2020 10:38,48.9,48.9,48.9,48.9,2730,0
FPT,5/21/2020 10:39,48.9,48.9,48.9,48.9,3990,0
FPT,5/21/2020 10:40,48.9,48.9,48.9,48.9,5560,0
FPT,5/21/2020 10:41,48.9,48.9,48.9,48.9,2140,0
FPT,5/21/2020 10:42,48.9,48.95,48.9,48.95,280,0
FPT,5/21/2020 10:43,48.9,48.95,48.9,48.95,2820,0
FPT,5/21/2020 10:44,48.95,48.95,48.9,48.9,320,0
FPT,5/21/2020 10:45,48.9,48.9,48.9,48.9,2700,0
FPT,5/21/2020 10:46,48.9,48.95,48.9,48.9,1220,0
FPT,5/21/2020 10:47,48.9,48.9,48.9,48.9,3720,0
FPT,5/21/2020 10:48,48.9,48.9,48.9,48.9,3270,0
FPT,5/21/2020 10:49,48.9,48.9,48.9,48.9,12620,0
FPT,5/21/2020 10:50,48.9,48.9,48.9,48.9,1490,0
FPT,5/21/2020 10:51,48.9,48.9,48.9,48.9,5560,0
FPT,5/21/2020 10:52,48.9,48.9,48.9,48.9,3880,0
FPT,5/21/2020 10:54,48.85,48.9,48.85,48.9,60,0
FPT,5/21/2020 10:55,48.9,48.9,48.9,48.9,270,0
FPT,5/21/2020 10:56,48.9,48.9,48.9,48.9,250,0
FPT,5/21/2020 10:57,48.85,48.9,48.85,48.9,12410,0
